machine	l_m	l	m	cpu_cores	repetition	init_seconds	query_seconds	queries_per_second	queries_per_second_per_cpu_core	total_queries	max_resident_megabytes	user_seconds	system_seconds	elapsed_seconds
laptop	l30_m35	l30	m35	8	0	0.50	133.74	179448.64	22431.08	24000000	26548.05	1566.19	78.11	134.90
laptop	l30_m35	l30	m35	8	1	1.01	108.09	222028.98	27753.62	24000000	26495.40	1540.50	30.53	109.75
laptop	l30_m35	l30	m35	8	2	0.98	107.63	222988.23	27873.53	24000000	26528.45	1518.07	37.56	109.27
laptop	l30_m35	l30	m35	8	3	0.97	111.86	214561.58	26820.20	24000000	26474.32	1595.14	30.34	113.48
laptop	l30_m35	l30	m35	8	4	0.99	111.89	214500.21	26812.53	24000000	26496.86	1588.13	32.05	113.54
laptop	l30_m35	l30	m35	8	5	0.88	113.21	211991.66	26498.96	24000000	26503.31	1552.98	35.82	114.74
laptop	l30_m35	l30	m35	8	6	0.99	110.83	216553.73	27069.22	24000000	26483.84	1566.24	31.88	112.47
laptop	l30_m35	l30	m35	8	7	0.97	111.34	215550.15	26943.77	24000000	26482.65	1577.01	35.47	112.97
laptop	l29_m35	l29	m35	8	0	0.51	128.65	186558.46	23319.81	24000000	22410.59	1684.43	50.27	129.73
laptop	l29_m35	l29	m35	8	1	0.82	117.90	203560.61	25445.08	24000000	22444.39	1756.92	23.25	119.28
laptop	l29_m35	l29	m35	8	2	0.78	115.51	207772.42	25971.55	24000000	22451.20	1706.39	24.35	116.83
laptop	l29_m35	l29	m35	8	3	0.84	117.58	204114.61	25514.33	24000000	22429.56	1752.09	23.10	118.97
laptop	l29_m35	l29	m35	8	4	0.85	111.91	214461.88	26807.73	24000000	22487.35	1672.01	22.53	113.31
laptop	l29_m35	l29	m35	8	5	0.78	124.41	192916.74	24114.59	24000000	22475.23	1859.14	23.39	125.73
laptop	l29_m35	l29	m35	8	6	0.83	124.88	192184.50	24023.06	24000000	22430.51	1869.32	24.60	126.25
laptop	l29_m35	l29	m35	8	7	0.82	122.08	196597.23	24574.65	24000000	22401.21	1830.76	23.00	123.46
laptop	l29_m34	l29	m34	8	0	0.63	157.05	152813.68	19101.71	24000000	20365.80	2299.17	30.30	158.19
laptop	l29_m34	l29	m34	8	1	0.72	149.34	160703.88	20087.99	24000000	20398.43	2219.57	24.84	150.57
laptop	l29_m34	l29	m34	8	2	0.70	145.67	164751.43	20593.93	24000000	20418.49	2179.55	23.98	146.90
laptop	l29_m34	l29	m34	8	3	0.69	143.53	167212.43	20901.55	24000000	20473.81	2149.35	23.64	144.73
laptop	l29_m34	l29	m34	8	4	0.74	149.90	160107.81	20013.48	24000000	20431.48	2251.27	25.13	151.15
laptop	l29_m34	l29	m34	8	5	0.71	154.57	155269.46	19408.68	24000000	20407.55	2299.37	24.72	155.79
laptop	l29_m34	l29	m34	8	6	0.72	155.02	154815.74	19351.97	24000000	20531.80	2325.34	24.79	156.25
laptop	l29_m34	l29	m34	8	7	0.72	145.61	164823.84	20602.98	24000000	20387.59	2151.65	24.55	146.83
laptop	l29_m33	l29	m33	8	0	0.62	201.60	119045.26	14880.66	24000000	19399.12	2884.53	32.92	202.72
laptop	l29_m33	l29	m33	8	1	0.66	206.54	116203.06	14525.38	24000000	19372.41	3010.87	31.39	207.69
laptop	l29_m33	l29	m33	8	2	0.65	206.41	116274.56	14534.32	24000000	19316.29	3024.12	31.75	207.54
laptop	l29_m33	l29	m33	8	3	0.65	206.36	116302.17	14537.77	24000000	19385.65	3012.80	31.81	207.50
laptop	l29_m33	l29	m33	8	4	0.65	185.89	129108.61	16138.58	24000000	19393.38	2737.96	27.68	187.04
laptop	l29_m33	l29	m33	8	5	0.67	189.08	126930.40	15866.30	24000000	19360.70	2750.81	29.49	190.24
laptop	l29_m33	l29	m33	8	6	0.65	197.31	121637.85	15204.73	24000000	19353.56	2889.08	30.16	198.45
laptop	l29_m33	l29	m33	8	7	0.69	187.20	128206.50	16025.81	24000000	19349.34	2806.62	26.56	188.37
laptop	l28_m35	l28	m35	8	0	0.47	157.60	152287.16	19035.90	24000000	20334.35	2260.24	34.60	158.55
laptop	l28_m35	l28	m35	8	1	0.73	162.55	147645.06	18455.63	24000000	20397.52	2441.31	23.50	163.78
laptop	l28_m35	l28	m35	8	2	0.69	163.98	146357.53	18294.69	24000000	20426.78	2446.44	25.55	165.15
laptop	l28_m35	l28	m35	8	3	0.72	163.05	147192.31	18399.04	24000000	20351.30	2443.00	24.84	164.27
laptop	l28_m35	l28	m35	8	4	0.69	163.21	147052.52	18381.56	24000000	20403.48	2445.88	24.39	164.40
laptop	l28_m35	l28	m35	8	5	0.72	153.82	156028.55	19503.57	24000000	20403.38	2311.87	22.80	155.04
laptop	l28_m35	l28	m35	8	6	0.72	160.65	149394.95	18674.37	24000000	20485.00	2414.42	23.92	161.86
laptop	l28_m35	l28	m35	8	7	0.69	166.57	144081.84	18010.23	24000000	20470.23	2484.32	24.73	167.76
laptop	l28_m34	l28	m34	8	0	0.57	186.58	128632.53	16079.07	24000000	18461.17	2821.43	22.46	187.60
laptop	l28_m34	l28	m34	8	1	0.64	202.55	118490.43	14811.30	24000000	18494.15	3085.15	25.35	203.65
laptop	l28_m34	l28	m34	8	2	0.66	199.34	120394.29	15049.29	24000000	18468.41	3028.56	25.55	200.47
laptop	l28_m34	l28	m34	8	3	0.63	208.66	115018.00	14377.25	24000000	18382.71	3077.50	30.06	209.76
laptop	l28_m34	l28	m34	8	4	0.61	176.96	135620.80	16952.60	24000000	18413.72	2623.90	21.66	178.05
laptop	l28_m34	l28	m34	8	5	0.61	211.66	113390.47	14173.81	24000000	18295.93	3170.30	28.82	212.71
laptop	l28_m34	l28	m34	8	6	0.65	207.72	115539.59	14442.45	24000000	18476.20	3138.55	27.45	208.82
laptop	l28_m34	l28	m34	8	7	0.62	210.18	114188.38	14273.55	24000000	18344.90	3132.29	28.22	211.25
laptop	l28_m33	l28	m33	8	0	0.56	254.06	94467.36	11808.42	24000000	17425.35	3860.89	25.80	255.05
laptop	l28_m33	l28	m33	8	1	0.61	268.92	89244.21	11155.53	24000000	17336.04	4015.16	27.81	269.94
laptop	l28_m33	l28	m33	8	2	0.59	246.30	97442.14	12180.27	24000000	17460.66	3752.26	27.63	247.34
laptop	l28_m33	l28	m33	8	3	0.62	268.94	89240.23	11155.03	24000000	17358.39	4085.62	29.38	270.00
laptop	l28_m33	l28	m33	8	4	0.52	257.17	93322.39	11665.30	24000000	17362.92	3863.97	29.74	258.14
laptop	l28_m33	l28	m33	8	5	0.50	250.32	95876.89	11984.61	24000000	17317.81	3767.49	28.92	251.24
laptop	l28_m33	l28	m33	8	6	0.61	245.31	97833.80	12229.22	24000000	17311.79	3714.06	32.78	246.36
laptop	l28_m33	l28	m33	8	7	0.61	246.24	97465.49	12183.19	24000000	17377.57	3748.98	27.68	247.28
laptop	l28_m32	l28	m32	8	0	0.54	334.85	71674.74	8959.34	24000000	16820.78	4959.06	34.54	335.82
laptop	l28_m32	l28	m32	8	1	0.57	371.88	64536.43	8067.05	24000000	16773.17	5525.07	39.93	372.87
laptop	l28_m32	l28	m32	8	2	0.55	359.74	66715.22	8339.40	24000000	16782.86	5306.03	42.09	360.71
laptop	l28_m32	l28	m32	8	3	0.57	371.13	64667.37	8083.42	24000000	16777.47	5626.69	32.16	372.12
laptop	l28_m32	l28	m32	8	4	0.59	368.40	65145.87	8143.23	24000000	16972.44	5671.38	31.62	369.45
laptop	l28_m32	l28	m32	8	5	0.60	354.45	67710.92	8463.86	24000000	16982.38	5459.07	30.24	355.48
laptop	l28_m32	l28	m32	8	6	0.59	354.06	67784.93	8473.12	24000000	16937.20	5450.63	30.53	355.07
laptop	l28_m32	l28	m32	8	7	0.58	353.60	67873.30	8484.16	24000000	16957.88	5423.07	30.94	354.60
laptop	l28_m31	l28	m31	8	0	0.46	464.70	51646.56	6455.82	24000000	16719.16	6974.67	43.61	465.58
laptop	l28_m31	l28	m31	8	1	0.58	479.98	50002.29	6250.29	24000000	16736.04	7422.78	36.96	481.00
laptop	l28_m31	l28	m31	8	2	0.58	469.66	51100.91	6387.61	24000000	16697.50	7244.24	36.33	470.65
laptop	l28_m31	l28	m31	8	3	0.55	464.61	51656.45	6457.06	24000000	16635.66	7172.42	35.57	465.58
laptop	l28_m31	l28	m31	8	4	0.58	468.82	51192.57	6399.07	24000000	16579.75	7158.36	40.71	469.82
laptop	l28_m31	l28	m31	8	5	0.54	493.51	48631.63	6078.95	24000000	16696.17	7412.78	46.41	494.50
laptop	l28_m31	l28	m31	8	6	0.54	496.13	48374.03	6046.75	24000000	16549.57	7295.60	53.88	497.11
laptop	l28_m31	l28	m31	8	7	0.54	484.96	49488.31	6186.04	24000000	16506.55	7064.60	51.72	485.89
server	l32_m37	l32	m37	24	0	1.61	72.31	995699.13	41487.46	72000000	64749.98	3323.96	14.77	74.58
server	l32_m37	l32	m37	24	1	1.62	72.24	996732.93	41530.54	72000000	64752.47	3321.85	14.70	74.51
server	l32_m37	l32	m37	24	2	1.61	73.23	983149.90	40964.58	72000000	64726.70	3343.26	14.62	75.50
server	l32_m37	l32	m37	24	3	1.61	72.63	991380.50	41307.52	72000000	64752.88	3320.61	14.52	74.89
server	l32_m37	l32	m37	24	4	1.61	72.06	999195.09	41633.13	72000000	64752.19	3320.08	14.47	74.33
server	l32_m37	l32	m37	24	5	1.62	72.59	991926.82	41330.28	72000000	64729.24	3317.73	14.58	74.87
server	l32_m37	l32	m37	24	6	1.62	72.66	990862.05	41285.92	72000000	64750.39	3313.66	14.65	74.94
server	l32_m37	l32	m37	24	7	1.61	72.27	996332.94	41513.87	72000000	64756.55	3317.35	14.40	74.53
server	l32_m36	l32	m36	24	0	1.39	72.06	999125.77	41630.24	72000000	56562.62	3297.06	14.23	74.03
server	l32_m36	l32	m36	24	1	1.39	71.91	1001223.72	41717.65	72000000	56561.29	3297.79	13.98	73.88
server	l32_m36	l32	m36	24	2	1.39	72.12	998363.79	41598.49	72000000	56537.60	3300.19	14.23	74.08
server	l32_m36	l32	m36	24	3	1.39	72.07	998987.14	41624.46	72000000	56537.18	3300.37	14.20	74.03
server	l32_m36	l32	m36	24	4	1.39	72.25	996553.58	41523.07	72000000	56557.23	3305.80	14.20	74.21
server	l32_m36	l32	m36	24	5	1.40	71.96	1000555.86	41689.83	72000000	56565.09	3301.83	14.67	73.93
server	l32_m36	l32	m36	24	6	1.40	71.93	1000959.25	41706.64	72000000	56550.56	3295.57	14.27	73.91
server	l32_m36	l32	m36	24	7	1.40	72.18	997492.41	41562.18	72000000	56569.28	3306.14	14.36	74.15
server	l31_m36	l31	m36	24	0	0.97	75.46	954147.89	39756.16	72000000	40153.37	3439.58	13.68	76.83
server	l31_m36	l31	m36	24	1	0.97	75.54	953200.50	39716.69	72000000	40153.66	3447.05	13.67	76.90
server	l31_m36	l31	m36	24	2	0.98	75.71	950946.98	39622.79	72000000	40174.90	3451.13	13.56	77.10
server	l31_m36	l31	m36	24	3	0.98	75.26	956658.08	39860.75	72000000	40166.27	3450.02	13.97	76.64
server	l31_m36	l31	m36	24	4	0.97	75.28	956492.86	39853.87	72000000	40154.14	3447.88	13.49	76.65
server	l31_m36	l31	m36	24	5	0.98	75.49	953743.44	39739.31	72000000	40167.16	3449.84	13.80	76.87
server	l31_m36	l31	m36	24	6	0.97	75.33	955781.82	39824.24	72000000	40178.73	3451.77	13.61	76.70
server	l31_m36	l31	m36	24	7	0.97	75.34	955616.91	39817.37	72000000	40170.33	3453.37	13.93	76.71
server	l30_m36	l30	m36	24	0	0.77	81.22	886470.25	36936.26	72000000	31977.58	3701.45	13.44	82.30
server	l30_m36	l30	m36	24	1	0.77	81.69	881337.67	36722.40	72000000	31984.22	3699.70	13.65	82.78
server	l30_m36	l30	m36	24	2	0.77	80.72	892005.40	37166.89	72000000	31984.43	3694.23	13.47	81.80
server	l30_m36	l30	m36	24	3	0.77	80.98	889141.36	37047.56	72000000	31976.49	3699.70	13.43	82.06
server	l30_m36	l30	m36	24	4	0.77	81.40	884477.42	36853.23	72000000	31977.54	3701.18	13.64	82.49
server	l30_m36	l30	m36	24	5	0.77	81.37	884836.12	36868.17	72000000	31977.38	3703.69	13.77	82.46
server	l30_m36	l30	m36	24	6	0.77	81.23	886393.85	36933.08	72000000	31977.37	3699.62	13.54	82.31
server	l30_m36	l30	m36	24	7	0.77	81.00	888834.02	37034.75	72000000	31977.06	3700.15	13.40	82.08
server	l29_m36	l29	m36	24	0	0.66	88.16	816696.92	34029.04	72000000	27869.44	4004.45	13.71	89.10
server	l29_m36	l29	m36	24	1	0.68	88.20	816317.28	34013.22	72000000	27891.40	4004.32	13.64	89.15
server	l29_m36	l29	m36	24	2	0.66	88.50	813522.55	33896.77	72000000	27892.55	4004.34	13.81	89.43
server	l29_m36	l29	m36	24	3	0.66	88.70	811688.31	33820.35	72000000	27889.50	4010.03	13.47	89.64
server	l29_m36	l29	m36	24	4	0.66	88.58	812787.86	33866.16	72000000	27892.32	4004.51	13.23	89.52
server	l29_m36	l29	m36	24	5	0.66	88.42	814258.57	33927.44	72000000	27879.66	4006.45	13.21	89.35
server	l29_m36	l29	m36	24	6	0.66	88.17	816604.29	34025.18	72000000	27871.01	4006.10	13.29	89.11
server	l29_m36	l29	m36	24	7	0.66	88.55	813099.94	33879.16	72000000	27871.75	4007.50	13.45	89.49
server	l29_m35	l29	m35	24	0	0.55	97.14	741160.12	30881.67	72000000	23799.43	4397.85	13.25	97.93
server	l29_m35	l29	m35	24	1	0.56	97.13	741289.84	30887.08	72000000	23788.58	4395.20	13.17	97.92
server	l29_m35	l29	m35	24	2	0.55	96.75	744193.74	31008.07	72000000	23783.97	4395.77	13.35	97.54
server	l29_m35	l29	m35	24	3	0.56	96.62	745148.77	31047.87	72000000	23783.33	4398.00	13.20	97.41
server	l29_m35	l29	m35	24	4	0.56	97.93	735241.56	30635.06	72000000	23780.56	4397.14	13.13	98.71
server	l29_m35	l29	m35	24	5	0.56	97.46	738757.04	30781.54	72000000	23794.30	4395.30	12.95	98.25
server	l29_m35	l29	m35	24	6	0.56	96.51	746005.76	31083.57	72000000	23783.82	4393.85	13.38	97.31
server	l29_m35	l29	m35	24	7	0.56	96.62	745187.33	31049.47	72000000	23790.31	4393.31	13.22	97.40
server	l29_m34	l29	m34	24	0	0.51	113.27	635626.89	26484.45	72000000	21733.71	5176.68	12.99	113.99
server	l29_m34	l29	m34	24	1	0.50	113.18	636160.42	26506.68	72000000	21741.51	5177.59	13.07	113.89
server	l29_m34	l29	m34	24	2	0.51	113.67	633390.22	26391.26	72000000	21733.46	5177.93	13.15	114.39
server	l29_m34	l29	m34	24	3	0.51	114.44	629139.65	26214.15	72000000	21745.35	5177.14	13.22	115.15
server	l29_m34	l29	m34	24	4	0.50	113.03	636982.12	26540.92	72000000	21741.89	5173.16	13.21	113.75
server	l29_m34	l29	m34	24	5	0.51	114.37	629530.21	26230.43	72000000	21732.75	5175.94	13.21	115.08
server	l29_m34	l29	m34	24	6	0.51	113.29	635509.07	26479.54	72000000	21744.39	5173.35	13.12	114.01
server	l29_m34	l29	m34	24	7	0.50	113.46	634590.47	26441.27	72000000	21741.85	5175.48	13.21	114.17
