threads	threads_per_cpu_core	cpu_cores	repetition	init_seconds	query_seconds	queries_per_second	queries_per_second_per_cpu_core	total_queries	max_resident_megabytes	user_seconds	system_seconds	elapsed_seconds
48	two	24.0	0	1.39	72.06	999125.77	41630.24	72000000	56562.62	3297.06	14.23	74.03
48	two	24.0	1	1.39	71.91	1001223.72	41717.65	72000000	56561.29	3297.79	13.98	73.88
48	two	24.0	2	1.39	72.12	998363.79	41598.49	72000000	56537.60	3300.19	14.23	74.08
48	two	24.0	3	1.39	72.07	998987.14	41624.46	72000000	56537.18	3300.37	14.20	74.03
48	two	24.0	4	1.39	72.25	996553.58	41523.07	72000000	56557.23	3305.80	14.20	74.21
48	two	24.0	5	1.40	71.96	1000555.86	41689.83	72000000	56565.09	3301.83	14.67	73.93
48	two	24.0	6	1.40	71.93	1000959.25	41706.64	72000000	56550.56	3295.57	14.27	73.91
48	two	24.0	7	1.40	72.18	997492.41	41562.18	72000000	56569.28	3306.14	14.36	74.15
24	two	12.0	0	1.39	140.70	511730.72	42644.23	72000000	55873.38	3245.92	11.77	142.68
24	two	12.0	1	1.39	141.08	510345.12	42528.76	72000000	55883.66	3239.02	12.04	143.06
24	two	12.0	2	1.39	141.38	509283.82	42440.32	72000000	55871.76	3244.92	11.80	143.35
24	two	12.0	3	1.39	140.86	511153.08	42596.09	72000000	55884.09	3251.85	11.86	142.83
24	two	12.0	4	1.39	141.04	510479.00	42539.92	72000000	55868.22	3243.99	11.65	143.02
24	two	12.0	5	1.39	141.22	509824.75	42485.40	72000000	55874.02	3243.99	11.75	143.20
24	two	12.0	6	1.39	141.51	508805.16	42400.43	72000000	55863.94	3244.22	11.84	143.49
24	two	12.0	7	1.39	140.73	511614.36	42634.53	72000000	55882.89	3245.57	11.69	142.71
8	two	4.0	0	1.40	419.76	171527.00	42881.75	72000000	54873.32	3235.01	10.92	421.74
8	two	4.0	1	1.40	419.14	171781.13	42945.28	72000000	54872.91	3236.37	11.03	421.11
8	two	4.0	2	1.40	419.41	171668.91	42917.23	72000000	54873.11	3240.95	10.79	421.38
8	two	4.0	3	1.40	419.31	171710.26	42927.56	72000000	54864.29	3237.74	10.80	421.28
8	two	4.0	4	1.39	420.35	171287.06	42821.76	72000000	54872.08	3237.70	10.89	422.32
8	two	4.0	5	1.40	420.93	171049.01	42762.25	72000000	54862.54	3238.94	11.05	422.91
8	two	4.0	6	1.40	420.05	171408.57	42852.14	72000000	54873.10	3239.44	10.92	422.03
8	two	4.0	7	1.40	419.97	171440.82	42860.20	72000000	54864.95	3236.07	10.91	421.95
2	two	1.0	0	1.41	1603.59	44899.23	44899.23	72000000	54479.23	3162.97	10.64	1605.57
2	two	1.0	1	1.40	1603.94	44889.52	44889.52	72000000	54479.36	3163.24	10.56	1605.90
2	two	1.0	2	1.40	1603.80	44893.52	44893.52	72000000	54479.35	3163.37	10.64	1605.76
2	two	1.0	3	1.40	1600.62	44982.63	44982.63	72000000	54479.27	3157.30	10.50	1602.59
2	two	1.0	4	1.39	1603.30	44907.35	44907.35	72000000	54479.14	3162.62	10.54	1605.26
2	two	1.0	5	1.39	1602.71	44923.83	44923.83	72000000	54479.23	3161.20	10.61	1604.68
2	two	1.0	6	1.39	1604.28	44879.97	44879.97	72000000	54479.21	3164.52	10.61	1606.24
2	two	1.0	7	1.40	1606.97	44804.87	44804.87	72000000	54479.35	3169.63	10.55	1608.94
24	one	24	0	1.39	117.71	611683.15	25486.80	72000000	55859.75	2682.54	11.81	119.69
24	one	24	1	1.39	116.70	616961.29	25706.72	72000000	55871.19	2683.55	11.67	118.68
24	one	24	2	1.40	117.08	614974.63	25623.94	72000000	55889.66	2682.39	11.59	119.06
24	one	24	3	1.40	116.92	615779.35	25657.47	72000000	55889.95	2680.33	11.82	118.91
24	one	24	4	1.39	116.55	617760.62	25740.03	72000000	55871.07	2680.12	11.73	118.53
24	one	24	5	1.40	118.33	608488.41	25353.68	72000000	55890.09	2681.31	11.63	120.32
24	one	24	6	1.40	117.92	610573.09	25440.55	72000000	55869.72	2685.65	11.64	119.91
24	one	24	7	1.39	117.84	611023.89	25459.33	72000000	55871.24	2693.72	11.45	119.81
12	one	12	0	1.39	231.94	310418.42	25868.20	72000000	55154.32	2655.80	10.41	233.91
12	one	12	1	1.40	231.23	311379.63	25948.30	72000000	55137.49	2652.33	10.15	233.20
12	one	12	2	1.39	232.02	310316.74	25859.73	72000000	55138.65	2655.79	10.28	233.99
12	one	12	3	1.39	233.08	308905.49	25742.12	72000000	55154.43	2654.05	10.11	235.05
12	one	12	4	1.40	232.79	309287.65	25773.97	72000000	55154.12	2661.43	10.35	234.77
12	one	12	5	1.40	232.49	309694.74	25807.89	72000000	55139.06	2652.39	10.08	234.46
12	one	12	6	1.39	232.31	309925.36	25827.11	72000000	55139.34	2657.82	10.29	234.28
12	one	12	7	1.40	234.58	306931.54	25577.63	72000000	55156.42	2667.51	10.16	236.55
4	one	4	0	1.40	680.98	105729.20	26432.30	72000000	54607.95	2634.55	9.86	682.96
4	one	4	1	1.39	680.79	105759.02	26439.75	72000000	54607.53	2635.65	9.79	682.76
4	one	4	2	1.39	683.02	105414.50	26353.62	72000000	54607.33	2642.65	9.71	684.98
4	one	4	3	1.40	679.60	105945.45	26486.36	72000000	54607.37	2634.45	9.78	681.56
4	one	4	4	1.39	681.22	105693.19	26423.30	72000000	54607.80	2637.36	9.78	683.18
4	one	4	5	1.39	680.73	105769.27	26442.32	72000000	54607.58	2636.08	9.71	682.69
4	one	4	6	1.39	679.60	105944.83	26486.21	72000000	54607.31	2632.06	9.93	681.56
4	one	4	7	1.40	681.00	105726.25	26431.56	72000000	54607.48	2636.23	9.84	682.97
1	one	1	0	1.39	2608.03	27607.02	27607.02	72000000	54402.62	2600.24	9.71	2610.00
1	one	1	1	1.39	2591.60	27782.02	27782.02	72000000	54402.48	2583.84	9.70	2593.56
1	one	1	2	1.40	2591.57	27782.34	27782.34	72000000	54402.65	2583.85	9.67	2593.54
1	one	1	3	1.39	2597.28	27721.34	27721.34	72000000	54402.58	2589.58	9.62	2599.24
1	one	1	4	1.39	2594.76	27748.21	27748.21	72000000	54402.67	2587.18	9.52	2596.72
1	one	1	5	1.39	2595.63	27738.89	27738.89	72000000	54402.61	2587.85	9.71	2597.59
1	one	1	6	1.39	2595.45	27740.82	27740.82	72000000	54402.47	2587.78	9.61	2597.41
1	one	1	7	1.39	2591.06	27787.86	27787.86	72000000	54402.64	2583.33	9.65	2593.02
